Date,SVENY01
1988-01-29,0.9344756907910614
1988-02-29,0.9357928615864716
1988-03-31,0.9338319981749832
1988-04-29,0.9314798495349013
1988-05-31,0.9264245081520585
1988-06-30,0.9276129463930541
1988-07-29,0.9238774273894871
1988-08-31,0.9204560903160701
1988-09-30,0.9220928381118499
1988-10-31,0.9234352751908532
1988-11-30,0.9174937094479095
1988-12-30,0.9142528200859904
1989-01-31,0.9145534255873419
1989-02-28,0.9103170005518597
1989-03-31,0.9079334941131872
1989-04-28,0.912870142109043
1989-05-31,0.9157799744711872
1989-06-30,0.9218878469521818
1989-07-31,0.9263997200410787
1989-08-31,0.9204303206784167
1989-09-29,0.919557160032232
1989-10-31,0.9244688496230272
1989-11-30,0.9259876373405366
1989-12-29,0.9247438039621321
1990-01-31,0.9221959246142272
1990-02-28,0.9222631936046087
1990-03-30,0.9201741718402969
1990-04-30,0.9178841573078239
1990-05-31,0.9218587643237178
1990-06-29,0.9234310874984918
1990-07-31,0.9259904276331407
1990-08-31,0.9248924334553704
1990-09-28,0.9257643887820782
1990-10-31,0.9278444742034684
1990-11-30,0.9293920795202983
1990-12-31,0.9331733709585256
1991-01-31,0.9354479405165007
1991-02-28,0.936689958584919
1991-03-29,
1991-04-30,0.9394565970176
1991-05-31,0.9396121660075726
1991-06-28,0.9386590929717805
1991-07-31,0.9398105191272038
1991-08-30,0.9436726938475141
1991-09-30,0.9461883317659217
1991-10-31,0.9491645295746483
1991-11-29,0.9527355997202738
1991-12-31,0.958560089009549
1992-01-31,0.9566971249818644
1992-02-28,0.9559273014127706
1992-03-31,0.9534849377414784
1992-04-30,0.956116466442951
1992-05-29,0.957474391431624
1992-06-30,0.9591725915208561
1992-07-31,0.9632734641806404
1992-08-31,0.964992278451951
1992-09-30,0.9683271412185621
1992-10-30,0.9634567300963993
1992-11-30,0.9606570625208695
1992-12-31,
1993-01-29,0.9652499642801632
1993-02-26,0.9667543833956705
1993-03-31,0.9664343653434118
1993-04-30,
1993-05-31,
1993-06-30,0.965128473563411
1993-07-30,0.9646341073340564
1993-08-31,0.9661239603635834
1993-09-30,0.96613531452282
1993-10-29,0.9652480359493206
1993-11-30,0.9639594649514568
1993-12-31,0.9638364458417122
1994-01-31,0.9649711278351278
1994-02-28,0.9598337782295566
1994-03-31,0.9554988519227503
1994-04-29,0.9509244679493533
1994-05-31,0.9482491542826665
1994-06-30,0.9466788501501994
1994-07-29,0.9475449856549342
1994-08-31,0.9465266570077854
1994-09-30,0.9426038534044253
1994-10-31,0.9406082321953194
1994-11-30,0.9342016170213792
1994-12-30,0.9300434253502154
1995-01-31,0.93439968875905
1995-02-28,0.9382188890531015
1995-03-31,0.9379266949658568
1995-04-28,0.9394469646571685
1995-05-31,0.9439192605526867
1995-06-30,0.9447709775496967
1995-07-31,0.9448329659602547
1995-08-31,0.9452162545962343
1995-09-29,0.9448221570574689
1995-10-31,0.946116951202605
1995-11-30,0.947906500977223
1995-12-29,0.9499178945311293
1996-01-31,0.951987700807576
1996-02-29,0.9495143863046317
1996-03-29,0.9468671141769408
1996-04-30,0.9453183313484459
1996-05-31,0.944293014058495
1996-06-28,0.9442210598475089
1996-07-31,0.9432551039149937
1996-08-30,0.9432861979232232
1996-09-30,0.9444009889977388
1996-10-31,0.9466005629613521
1996-11-29,0.9475923173179263
1996-12-31,0.9457362874922917
1997-01-31,0.9456146256386946
1997-02-28,0.9445509322740169
1997-03-31,0.9415610973701208
1997-04-30,0.9427555861772944
1997-05-30,0.9436332827255558
1997-06-30,0.944209070083207
1997-07-31,0.9460759920291959
1997-08-29,0.9445428363112144
1997-09-30,0.9453975035236452
1997-10-31,0.9464362722215872
1997-11-28,0.9450519723067708
1997-12-31,0.9458666708477801
1998-01-30,0.9481323355770599
1998-02-27,0.946685653896519
1998-03-31,0.9465303964920069
1998-04-30,0.9467995391739553
1998-05-29,0.946635338448444
1998-06-30,0.9472002437354069
1998-07-31,0.9474877268987777
1998-08-31,0.9507031249514557
1998-09-30,0.9558902277715319
1998-10-30,0.9569844282419627
1998-11-30,0.9548141004926425
1998-12-31,0.9550024977225254
1999-01-29,0.9547416206528605
1999-02-26,0.9513351475051595
1999-03-31,0.952733216151735
1999-04-30,0.9522306800691153
1999-05-31,
1999-06-30,0.9489404356524423
1999-07-30,0.9483127248330353
1999-08-31,0.94660444162088
1999-09-30,0.9475900692020444
1999-10-29,0.9459581852131812
1999-11-30,0.9438226893740832
1999-12-31,0.9416013712456494
2000-01-31,0.9390047188416056
2000-02-29,0.9391487089597482
2000-03-31,0.9385399325861592
2000-04-28,0.9371952268367598
2000-05-31,0.9354294705076203
2000-06-30,0.9379444071255005
2000-07-31,0.9382162628360166
2000-08-31,0.9391966833683649
2000-09-29,0.9399985154734485
2000-10-31,0.9397489717541168
2000-11-30,0.9422983613441244
2000-12-29,0.9469948154660178
2001-01-31,0.953760363163036
2001-02-28,0.9555928393932006
2001-03-30,0.9591540858722788
2001-04-30,0.9601303423475929
2001-05-31,0.9624513233861876
2001-06-29,0.9618959604357864
2001-07-31,0.965705597468729
2001-08-31,0.9673189532622664
2001-09-28,0.9754454895285226
2001-10-31,0.9800006931714142
2001-11-30,0.9794246221453089
2001-12-31,0.9793746727632995
2002-01-31,0.9775664596715327
2002-02-28,0.9783380639660794
2002-03-29,
2002-04-30,0.9772820292184063
2002-05-31,0.976957625438713
2002-06-28,0.9796303229137842
2002-07-31,0.9830787992929636
2002-08-30,0.9829067755556034
2002-09-30,0.9852232635419219
2002-10-31,0.9862997149812264
